userId	geneSymbol	geneName	entrezgene	gLink
ENSMUSG00000000600	Krit1	KRIT1, ankyrin repeat containing	79264	https://www.ncbi.nlm.nih.gov/gene/?term=79264
ENSMUSG00000000838	Fmr1	fragile X mental retardation 1	14265	https://www.ncbi.nlm.nih.gov/gene/?term=14265
ENSMUSG00000001542	Ell2	elongation factor RNA polymerase II 2	192657	https://www.ncbi.nlm.nih.gov/gene/?term=192657
ENSMUSG00000004360	9330159F19Rik	RIKEN cDNA 9330159F19 gene	212448	https://www.ncbi.nlm.nih.gov/gene/?term=212448
ENSMUSG00000004364	Cul3	cullin 3	26554	https://www.ncbi.nlm.nih.gov/gene/?term=26554
ENSMUSG00000010592	Dazl	deleted in azoospermia-like	13164	https://www.ncbi.nlm.nih.gov/gene/?term=13164
ENSMUSG00000014956	Ppp1cb	protein phosphatase 1 catalytic subunit beta	19046	https://www.ncbi.nlm.nih.gov/gene/?term=19046
ENSMUSG00000018415	Gid4	GID complex subunit 4, VID24 homolog	66771	https://www.ncbi.nlm.nih.gov/gene/?term=66771
ENSMUSG00000019936	Epyc	epiphycan	13516	https://www.ncbi.nlm.nih.gov/gene/?term=13516
ENSMUSG00000019943	Atp2b1	ATPase, Ca++ transporting, plasma membrane 1	67972	https://www.ncbi.nlm.nih.gov/gene/?term=67972
ENSMUSG00000020134	Peli1	pellino 1	67245	https://www.ncbi.nlm.nih.gov/gene/?term=67245
ENSMUSG00000020589	Fam49a	family with sequence similarity 49, member A	76820	https://www.ncbi.nlm.nih.gov/gene/?term=76820
ENSMUSG00000021775	Nr1d2	nuclear receptor subfamily 1, group D, member 2	353187	https://www.ncbi.nlm.nih.gov/gene/?term=353187
ENSMUSG00000022124	Fbxl3	F-box and leucine-rich repeat protein 3	50789	https://www.ncbi.nlm.nih.gov/gene/?term=50789
ENSMUSG00000022299	Slc25a32	solute carrier family 25, member 32	69906	https://www.ncbi.nlm.nih.gov/gene/?term=69906
ENSMUSG00000022698	Naa50	N(alpha)-acetyltransferase 50, NatE catalytic subunit	72117	https://www.ncbi.nlm.nih.gov/gene/?term=72117
ENSMUSG00000024077	Strn	striatin, calmodulin binding protein	268980	https://www.ncbi.nlm.nih.gov/gene/?term=268980
ENSMUSG00000024081	Cebpz	CCAAT/enhancer binding protein zeta	12607	https://www.ncbi.nlm.nih.gov/gene/?term=12607
ENSMUSG00000024576	Csnk1a1	casein kinase 1, alpha 1	93687	https://www.ncbi.nlm.nih.gov/gene/?term=93687
ENSMUSG00000025626	Phf6	PHD finger protein 6	70998	https://www.ncbi.nlm.nih.gov/gene/?term=70998
ENSMUSG00000025903	Lypla1	lysophospholipase 1	18777	https://www.ncbi.nlm.nih.gov/gene/?term=18777
ENSMUSG00000025982	Sf3b1	splicing factor 3b, subunit 1	81898	https://www.ncbi.nlm.nih.gov/gene/?term=81898
ENSMUSG00000027104	Atf2	activating transcription factor 2	11909	https://www.ncbi.nlm.nih.gov/gene/?term=11909
ENSMUSG00000027433	Xrn2	5'-3' exoribonuclease 2	24128	https://www.ncbi.nlm.nih.gov/gene/?term=24128
ENSMUSG00000027680	Fxr1	fragile X mental retardation gene 1, autosomal homolog	14359	https://www.ncbi.nlm.nih.gov/gene/?term=14359
ENSMUSG00000027778	Ift80	intraflagellar transport 80	68259	https://www.ncbi.nlm.nih.gov/gene/?term=68259
ENSMUSG00000027804	Ppid	peptidylprolyl isomerase D (cyclophilin D)	67738	https://www.ncbi.nlm.nih.gov/gene/?term=67738
ENSMUSG00000028086	Fbxw7	F-box and WD-40 domain protein 7	50754	https://www.ncbi.nlm.nih.gov/gene/?term=50754
ENSMUSG00000028222	Calb1	calbindin 1	12307	https://www.ncbi.nlm.nih.gov/gene/?term=12307
ENSMUSG00000028282	Casp8ap2	caspase 8 associated protein 2	26885	https://www.ncbi.nlm.nih.gov/gene/?term=26885
