userId	geneSymbol	geneName	entrezgene	gLink
ENSMUSG00000000275	Trim25	tripartite motif-containing 25	217069	https://www.ncbi.nlm.nih.gov/gene/?term=217069
ENSMUSG00000000708	Kat2b	K(lysine) acetyltransferase 2B	18519	https://www.ncbi.nlm.nih.gov/gene/?term=18519
ENSMUSG00000001911	Nfix	nuclear factor I/X	18032	https://www.ncbi.nlm.nih.gov/gene/?term=18032
ENSMUSG00000002602	Axl	AXL receptor tyrosine kinase	26362	https://www.ncbi.nlm.nih.gov/gene/?term=26362
ENSMUSG00000008090	Fgfrl1	fibroblast growth factor receptor-like 1	116701	https://www.ncbi.nlm.nih.gov/gene/?term=116701
ENSMUSG00000014599	Csf1	colony stimulating factor 1 (macrophage)	12977	https://www.ncbi.nlm.nih.gov/gene/?term=12977
ENSMUSG00000017774	Myo1c	myosin IC	17913	https://www.ncbi.nlm.nih.gov/gene/?term=17913
ENSMUSG00000020097	Sgpl1	sphingosine phosphate lyase 1	20397	https://www.ncbi.nlm.nih.gov/gene/?term=20397
ENSMUSG00000020100	Slc29a3	solute carrier family 29 (nucleoside transporters), member 3	71279	https://www.ncbi.nlm.nih.gov/gene/?term=71279
ENSMUSG00000020282	Rhbdf1	rhomboid 5 homolog 1	13650	https://www.ncbi.nlm.nih.gov/gene/?term=13650
ENSMUSG00000020472	Zkscan17	zinc finger with KRAB and SCAN domains 17	268417	https://www.ncbi.nlm.nih.gov/gene/?term=268417
ENSMUSG00000021665	Hexb	hexosaminidase B	15212	https://www.ncbi.nlm.nih.gov/gene/?term=15212
ENSMUSG00000021696	Elovl7	ELOVL family member 7, elongation of long chain fatty acids (yeast)	74559	https://www.ncbi.nlm.nih.gov/gene/?term=74559
ENSMUSG00000022587	Ly6e	lymphocyte antigen 6 complex, locus E	17069	https://www.ncbi.nlm.nih.gov/gene/?term=17069
ENSMUSG00000023826	Prkn	parkin RBR E3 ubiquitin protein ligase	50873	https://www.ncbi.nlm.nih.gov/gene/?term=50873
ENSMUSG00000024349	Tmem173	transmembrane protein 173	72512	https://www.ncbi.nlm.nih.gov/gene/?term=72512
ENSMUSG00000024413	Npc1	NPC intracellular cholesterol transporter 1	18145	https://www.ncbi.nlm.nih.gov/gene/?term=18145
ENSMUSG00000024451	Arap3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	106952	https://www.ncbi.nlm.nih.gov/gene/?term=106952
ENSMUSG00000024621	Csf1r	colony stimulating factor 1 receptor	12978	https://www.ncbi.nlm.nih.gov/gene/?term=12978
ENSMUSG00000024965	Fermt3	fermitin family member 3	108101	https://www.ncbi.nlm.nih.gov/gene/?term=108101
ENSMUSG00000025239	Limd1	LIM domains containing 1	29806	https://www.ncbi.nlm.nih.gov/gene/?term=29806
ENSMUSG00000026028	Trak2	trafficking protein, kinesin binding 2	70827	https://www.ncbi.nlm.nih.gov/gene/?term=70827
ENSMUSG00000026288	Inpp5d	inositol polyphosphate-5-phosphatase D	16331	https://www.ncbi.nlm.nih.gov/gene/?term=16331
ENSMUSG00000026814	Eng	endoglin	13805	https://www.ncbi.nlm.nih.gov/gene/?term=13805
ENSMUSG00000027199	Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	67092	https://www.ncbi.nlm.nih.gov/gene/?term=67092
ENSMUSG00000027238	Frmd5	FERM domain containing 5	228564	https://www.ncbi.nlm.nih.gov/gene/?term=228564
ENSMUSG00000028465	Tln1	talin 1	21894	https://www.ncbi.nlm.nih.gov/gene/?term=21894
ENSMUSG00000028581	Laptm5	lysosomal-associated protein transmembrane 5	16792	https://www.ncbi.nlm.nih.gov/gene/?term=16792
ENSMUSG00000029468	P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7	18439	https://www.ncbi.nlm.nih.gov/gene/?term=18439
ENSMUSG00000030124	Lag3	lymphocyte-activation gene 3	16768	https://www.ncbi.nlm.nih.gov/gene/?term=16768
ENSMUSG00000031486	Adgra2	adhesion G protein-coupled receptor A2	78560	https://www.ncbi.nlm.nih.gov/gene/?term=78560
